Order Date,Region,Category,Sales,Profit
2023-02-14,South,Furniture,372.3,36.83
2023-02-15,West,Office Supplies,820.88,128.65
2023-02-16,West,Furniture,502.67,109.23
2023-02-17,South,Technology,134.73,3.16
2023-02-18,West,Technology,115.23,215.44
2023-02-19,South,Office Supplies,303.96,-84.28
2023-02-21,East,Furniture,369.62,-94.18
2023-02-21,South,Office Supplies,594.06,88.83
2023-02-22,West,Technology,635.01,-69.94
2023-02-22,West,Technology,731.44,15.45
2023-02-23,West,Technology,678.69,13.51
2023-02-23,West,Technology,798.92,-34.29
2023-02-23,Central,Office Supplies,521.12,218.92
2023-02-23,East,Office Supplies,173.31,-78.1
2023-02-24,East,Furniture,847.98,186.39
2023-02-26,South,Technology,679.07,205.44
2023-02-26,Central,Technology,986.49,78.4
2023-02-28,East,Furniture,228.09,246.43
2023-02-28,East,Furniture,615.39,225.16
2023-03-04,South,Furniture,112.55,157.6
2023-03-04,Central,Technology,745.95,127.96
2023-03-05,West,Furniture,93.06,261.66
2023-03-06,Central,Technology,539.06,207.8
2023-03-07,East,Office Supplies,774.59,272.85
2023-03-08,West,Office Supplies,30.62,36.73
2023-03-09,East,Technology,811.29,-26.19
2023-03-12,West,Furniture,789.47,87.48
2023-03-13,West,Furniture,257.21,-48.97
2023-03-14,South,Technology,636.81,33.7
2023-03-16,East,Furniture,502.77,53.26
2023-03-17,West,Technology,397.4,275.93
2023-03-17,Central,Furniture,376.36,7.7
2023-03-19,Central,Furniture,948.3,-95.6
2023-03-20,West,Office Supplies,294.34,59.27
2023-03-24,West,Technology,955.77,114.96
2023-03-25,West,Technology,775.84,-41.17
2023-03-26,Central,Office Supplies,758.31,260.01
2023-03-26,South,Furniture,307.35,17.79
2023-03-30,East,Office Supplies,76.41,70.09
2023-03-30,East,Technology,128.97,67.51
2023-03-30,Central,Office Supplies,640.86,142.31
2023-03-31,West,Technology,733.65,128.31
2023-04-02,East,Furniture,531.8,248.85
2023-04-03,South,Technology,966.32,207.59
2023-04-03,West,Technology,630.43,178.66
2023-04-04,West,Technology,199.74,-89.45
2023-04-07,East,Furniture,388.73,249.56
2023-04-08,West,Technology,272.78,271.75
2023-04-08,Central,Office Supplies,825.42,265.72
2023-04-09,West,Office Supplies,354.25,226.83
2023-04-11,Central,Technology,295.16,56.98
2023-04-13,West,Office Supplies,379.03,236.85
2023-04-14,West,Furniture,212.06,-88.49
2023-04-17,West,Technology,813.17,-55.75
2023-04-19,Central,Furniture,279.9,129.79
2023-04-19,West,Office Supplies,760.44,45.71
2023-04-26,West,Technology,25.41,58.62
2023-04-27,West,Technology,781.6,140.21
2023-04-28,East,Furniture,532.64,138.74
2023-05-01,Central,Furniture,852.24,192.35
2023-05-03,South,Office Supplies,190.88,292.95
2023-05-04,South,Furniture,214.74,213.46
2023-05-06,Central,Office Supplies,644.68,142.69
2023-05-09,West,Furniture,244.22,101.37
2023-05-09,Central,Furniture,570.05,38.27
2023-05-12,Central,Furniture,111.8,-73.4
2023-05-12,South,Technology,387.05,179.26
2023-05-13,West,Furniture,894.71,222.48
2023-05-13,East,Furniture,649.19,113.04
2023-05-15,East,Furniture,70.45,215.67
2023-05-17,West,Furniture,963.96,90.42
2023-05-17,Central,Technology,623.53,65.85
2023-05-19,West,Furniture,264.31,84.31
2023-05-20,South,Office Supplies,112.1,38.28
2023-05-20,West,Office Supplies,600.57,-77.45
2023-05-22,South,Office Supplies,332.6,-37.54
2023-05-23,South,Furniture,410.53,-40.53
2023-05-25,West,Technology,314.86,31.0
2023-05-26,West,Technology,908.23,265.76
2023-05-27,West,Office Supplies,65.08,99.35
2023-05-28,Central,Furniture,527.96,197.58
2023-05-29,West,Furniture,630.83,292.01
2023-05-30,South,Office Supplies,907.27,3.77
2023-06-04,South,Office Supplies,702.05,107.54
2023-06-05,East,Technology,656.23,141.26
2023-06-05,Central,Office Supplies,50.8,-32.43
2023-06-06,East,Office Supplies,239.12,126.56
2023-06-06,Central,Technology,388.07,0.72
2023-06-08,West,Office Supplies,445.17,284.43
2023-06-09,Central,Office Supplies,99.72,130.61
2023-06-10,South,Furniture,40.17,145.37
2023-06-13,East,Technology,899.27,70.17
2023-06-13,Central,Office Supplies,938.0,287.79
2023-06-14,East,Technology,352.25,-54.07
2023-06-15,South,Office Supplies,909.42,-51.75
2023-06-16,Central,Technology,331.64,48.19
2023-06-19,East,Office Supplies,548.56,199.3
2023-06-20,Central,Furniture,656.96,188.9
2023-06-26,West,Technology,333.65,68.57
2023-06-27,West,Technology,53.7,-8.54
2023-06-29,Central,Office Supplies,65.52,245.89
2023-06-30,West,Office Supplies,328.07,-29.2
2023-07-02,East,Furniture,371.3,96.85
2023-07-04,West,Furniture,549.82,130.52
2023-07-08,Central,Office Supplies,799.88,156.46
2023-07-11,South,Technology,523.95,9.36
2023-07-11,West,Furniture,751.12,-1.86
2023-07-12,South,Furniture,963.2,-91.97
2023-07-13,West,Furniture,109.46,51.88
2023-07-13,South,Technology,557.76,204.09
2023-07-14,Central,Furniture,902.41,103.04
2023-07-15,East,Furniture,24.96,1.86
2023-07-16,West,Technology,558.24,221.14
2023-07-20,West,Technology,633.34,138.15
2023-07-21,West,Office Supplies,285.92,-14.81
2023-07-21,West,Technology,178.0,219.76
2023-07-21,East,Furniture,802.33,-8.3
2023-07-21,West,Furniture,484.0,165.41
2023-07-22,East,Technology,897.61,257.07
2023-07-23,South,Technology,186.1,-44.29
2023-07-26,East,Office Supplies,342.09,279.38
2023-07-27,East,Office Supplies,609.09,279.92
2023-07-30,South,Office Supplies,970.51,67.3
2023-07-30,Central,Technology,606.69,225.52
2023-08-02,East,Office Supplies,985.94,72.66
2023-08-04,West,Office Supplies,795.75,247.39
2023-08-04,South,Furniture,252.88,158.37
2023-08-07,West,Furniture,537.15,-87.53
2023-08-07,South,Furniture,899.17,132.5
2023-08-09,South,Furniture,702.8,168.76
2023-08-10,Central,Technology,511.49,-40.03
2023-08-11,West,Furniture,684.01,-30.65
2023-08-13,East,Technology,451.35,-48.34
2023-08-14,East,Technology,578.66,257.56
2023-08-15,East,Furniture,239.78,64.74
2023-08-16,West,Office Supplies,894.21,-19.35
2023-08-17,Central,Technology,555.78,108.12
2023-08-18,West,Furniture,622.71,-39.33
2023-08-20,West,Office Supplies,784.28,92.46
2023-08-20,South,Office Supplies,438.57,47.57
2023-08-24,West,Technology,82.29,31.5
2023-08-26,East,Technology,821.65,85.01
2023-08-28,Central,Furniture,512.58,225.83
2023-09-01,Central,Furniture,401.42,226.98
2023-09-02,West,Technology,759.45,-65.8
2023-09-02,East,Technology,121.06,-16.85
2023-09-02,East,Office Supplies,619.49,38.78
2023-09-08,South,Technology,399.0,59.14
2023-09-14,South,Technology,859.36,199.98
2023-09-18,East,Office Supplies,237.67,258.08
2023-09-18,South,Technology,139.6,281.62
2023-09-19,Central,Technology,338.82,148.12
2023-09-19,Central,Technology,929.75,259.83
2023-09-20,South,Technology,87.97,278.45
2023-09-20,East,Furniture,262.78,80.89
2023-09-21,East,Furniture,318.52,239.86
2023-09-26,Central,Technology,937.43,148.03
2023-10-01,South,Furniture,520.53,0.97
2023-10-07,South,Technology,776.8,105.6
2023-10-08,East,Technology,35.15,-7.11
2023-10-10,East,Office Supplies,974.91,280.09
2023-10-10,East,Technology,775.55,258.72
2023-10-12,South,Furniture,42.81,163.57
2023-10-16,East,Furniture,576.94,-27.51
2023-10-17,East,Furniture,243.38,147.3
2023-10-21,Central,Furniture,923.44,61.39
2023-10-22,Central,Technology,636.36,-92.12
2023-10-24,South,Furniture,102.42,-31.33
2023-10-25,West,Technology,363.9,153.39
2023-10-27,Central,Office Supplies,735.01,-69.65
2023-10-27,West,Technology,37.86,8.3
2023-10-30,West,Technology,285.42,-54.7
2023-10-31,Central,Technology,521.85,-67.91
2023-10-31,East,Office Supplies,257.02,-25.18
2023-11-01,West,Furniture,103.14,9.62
2023-11-01,East,Office Supplies,665.52,-16.04
2023-11-01,Central,Office Supplies,712.72,244.95
2023-11-01,South,Office Supplies,118.76,49.32
2023-11-02,East,Office Supplies,501.78,-94.76
2023-11-03,West,Office Supplies,810.7,-2.73
2023-11-05,West,Furniture,889.47,-48.78
2023-11-07,East,Office Supplies,115.72,-1.06
2023-11-08,East,Technology,656.64,-50.28
2023-11-09,East,Office Supplies,307.72,228.5
2023-11-11,West,Furniture,398.38,123.86
2023-11-12,South,Furniture,972.35,50.91
2023-11-12,East,Technology,177.59,172.6
2023-11-13,East,Office Supplies,308.56,-53.24
2023-11-14,West,Furniture,291.83,8.86
2023-11-14,East,Furniture,382.76,101.09
2023-11-16,Central,Technology,466.54,219.77
2023-11-17,West,Technology,666.99,33.4
2023-11-19,South,Furniture,617.37,137.44
2023-11-19,West,Technology,819.15,148.83
2023-11-19,South,Technology,362.23,144.25
2023-11-23,South,Technology,816.54,-17.43
2023-11-24,East,Furniture,835.79,273.09
2023-11-29,West,Furniture,639.66,294.61
2023-11-30,West,Office Supplies,476.29,133.36
2023-12-02,South,Furniture,424.37,242.28
2023-12-05,East,Furniture,336.5,270.23
2023-12-10,West,Technology,338.89,232.25
2023-12-11,West,Furniture,708.96,-3.01
2023-12-12,East,Furniture,512.63,171.64
2023-12-15,Central,Technology,211.34,43.53
2023-12-16,East,Furniture,889.95,116.65
2023-12-18,South,Office Supplies,585.37,166.08
2023-12-18,South,Technology,551.84,135.97
2023-12-19,West,Furniture,961.97,-37.9
2023-12-20,West,Technology,202.84,10.75
2023-12-21,South,Furniture,135.8,-7.57
2023-12-21,Central,Furniture,755.85,-94.8
2023-12-23,Central,Technology,914.98,58.91
2023-12-23,Central,Furniture,954.85,20.55
2023-12-23,West,Technology,893.32,-14.02
2023-12-26,West,Office Supplies,951.4,-1.44
2023-12-28,East,Technology,993.11,4.91
2023-12-28,West,Office Supplies,75.18,-33.49
2023-12-28,West,Office Supplies,720.3,-98.15
2023-12-29,Central,Furniture,518.4,-64.52
